Approved Symbol	First Design
ABL1	IMPACT-341
ACVR1	IMPACT-410
AGO1	IMPACT-505
AGO2	IMPACT-468
AKT1	IMPACT-341
AKT2	IMPACT-341
AKT3	IMPACT-341
ALB	IMPACT-505
ALK	IMPACT-341
ALOX12B	IMPACT-341
ANKRD11	IMPACT-410
APC	IMPACT-341
APLNR	IMPACT-505
AR	IMPACT-341
ARAF	IMPACT-341
ARHGAP35	IMPACT-505
ARID1A	IMPACT-341
ARID1B	IMPACT-341
ARID2	IMPACT-341
ARID5B	IMPACT-341
ASXL1	IMPACT-341
ASXL2	IMPACT-341
ATM	IMPACT-341
ATR	IMPACT-341
ATRX	IMPACT-341
ATXN7	IMPACT-505
AURKA	IMPACT-341
AURKB	IMPACT-341
AXIN1	IMPACT-341
AXIN2	IMPACT-341
AXL	IMPACT-341
B2M	IMPACT-341
BABAM1	IMPACT-468
BAP1	IMPACT-341
BARD1	IMPACT-341
BBC3	IMPACT-341
BCL10	IMPACT-410
BCL2	IMPACT-341
BCL2L1	IMPACT-341
BCL2L11	IMPACT-341
BCL6	IMPACT-341
BCOR	IMPACT-341
BIRC3	IMPACT-410
BLM	IMPACT-341
BMPR1A	IMPACT-341
BRAF	IMPACT-341
BRCA1	IMPACT-341
BRCA2	IMPACT-341
BRD4	IMPACT-341
BRIP1	IMPACT-341
BTK	IMPACT-341
CALR	IMPACT-410
CARD11	IMPACT-341
CARM1	IMPACT-468
CASP8	IMPACT-341
CBFB	IMPACT-341
CBL	IMPACT-341
CCND1	IMPACT-341
CCND2	IMPACT-341
CCND3	IMPACT-341
CCNE1	IMPACT-341
CD274	IMPACT-341
CD276	IMPACT-341
CD79A	IMPACT-410
CD79B	IMPACT-341
CDC42	IMPACT-468
CDC73	IMPACT-341
CDH1	IMPACT-341
CDK12	IMPACT-341
CDK4	IMPACT-341
CDK6	IMPACT-341
CDK8	IMPACT-341
CDKN1A	IMPACT-341
CDKN1B	IMPACT-341
CDKN2A	IMPACT-341
CDKN2B	IMPACT-341
CDKN2C	IMPACT-341
CEBPA	IMPACT-410
CENPA	IMPACT-410
CHEK1	IMPACT-341
CHEK2	IMPACT-341
CIC	IMPACT-341
CMTR2	IMPACT-505
CREBBP	IMPACT-341
CRKL	IMPACT-341
CRLF2	IMPACT-341
CSDE1	IMPACT-468
CSF1R	IMPACT-341
CSF3R	IMPACT-410
CTCF	IMPACT-341
CTLA4	IMPACT-341
CTNNB1	IMPACT-341
CTR9	IMPACT-505
CUL3	IMPACT-341
CXCR4	IMPACT-410
CXORF67	IMPACT-505
CYLD	IMPACT-468
CYP19A1	IMPACT-505
CYSLTR2	IMPACT-468
DAXX	IMPACT-341
DCUN1D1	IMPACT-341
DDR2	IMPACT-341
DICER1	IMPACT-341
DIS3	IMPACT-341
DNAJB1	IMPACT-410
DNMT1	IMPACT-341
DNMT3A	IMPACT-341
DNMT3B	IMPACT-341
DOT1L	IMPACT-341
DROSHA	IMPACT-468
DUSP4	IMPACT-468
E2F3	IMPACT-341
EED	IMPACT-341
EGFL7	IMPACT-341
EGFR	IMPACT-341
EIF1AX	IMPACT-341
EIF4A2	IMPACT-410
EIF4E	IMPACT-410
ELF3	IMPACT-468
EP300	IMPACT-341
EPAS1	IMPACT-468
EPCAM	IMPACT-341
EPHA3	IMPACT-341
EPHA5	IMPACT-341
EPHA7	IMPACT-410
EPHB1	IMPACT-341
ERBB2	IMPACT-341
ERBB3	IMPACT-341
ERBB4	IMPACT-341
ERCC2	IMPACT-341
ERCC3	IMPACT-341
ERCC4	IMPACT-341
ERCC5	IMPACT-341
ERF	IMPACT-468
ERG	IMPACT-341
ERRFI1	IMPACT-410
ESR1	IMPACT-341
ETAA1	IMPACT-505
ETV1	IMPACT-341
ETV6	IMPACT-341
EZH1	IMPACT-468
EZH2	IMPACT-341
FAM123B	IMPACT-341
FAM175A	IMPACT-341
FAM46C	IMPACT-341
FAM58A	IMPACT-468
FANCA	IMPACT-341
FANCC	IMPACT-341
FAT1	IMPACT-341
FBXW7	IMPACT-341
FGF19	IMPACT-341
FGF3	IMPACT-341
FGF4	IMPACT-341
FGFR1	IMPACT-341
FGFR2	IMPACT-341
FGFR3	IMPACT-341
FGFR4	IMPACT-341
FH	IMPACT-341
FLCN	IMPACT-341
FLT1	IMPACT-341
FLT3	IMPACT-341
FLT4	IMPACT-341
FOXA1	IMPACT-341
FOXF1	IMPACT-505
FOXL2	IMPACT-341
FOXO1	IMPACT-410
FOXP1	IMPACT-341
FUBP1	IMPACT-341
FYN	IMPACT-410
GAB1	IMPACT-505
GAB2	IMPACT-505
GATA1	IMPACT-341
GATA2	IMPACT-341
GATA3	IMPACT-341
GLI1	IMPACT-410
GNA11	IMPACT-341
GNAQ	IMPACT-341
GNAS	IMPACT-341
GNB1	IMPACT-505
GPS2	IMPACT-410
GREM1	IMPACT-341
GRIN2A	IMPACT-341
GSK3B	IMPACT-341
H3F3A	IMPACT-410
H3F3B	IMPACT-410
H3F3C	IMPACT-341
HGF	IMPACT-341
HIST1H1C	IMPACT-341
HIST1H2BD	IMPACT-341
HIST1H3A	IMPACT-410
HIST1H3B	IMPACT-341
HIST1H3C	IMPACT-410
HIST1H3D	IMPACT-410
HIST1H3E	IMPACT-410
HIST1H3F	IMPACT-410
HIST1H3G	IMPACT-410
HIST1H3H	IMPACT-410
HIST1H3I	IMPACT-410
HIST1H3J	IMPACT-410
HIST2H3C	IMPACT-410
HIST2H3D	IMPACT-410
HIST3H3	IMPACT-410
HLA-A	IMPACT-410
HLA-B	IMPACT-468
HLA-C	IMPACT-505
HNF1A	IMPACT-341
